name,url,author,github_url,description,deployment_method,requires_api_key,install_command,run_command,use_cases
Context7 MCP - 最新代码文档适用于任何提示,https://lobehub.com/mcp/upstash-context7,upstash,https://github.com/upstash/context7,"Context7 MCP 提供最新、特定版本的代码文档和示例，直接集成到 LLM 的提示中",npx,true,npx -y @smithery/cli@latest install @upstash/context7-mcp --client <CLIENT_NAME> --key <YOUR_SMITHERY_KEY>,npx -y @upstash/context7-mcp,"在 Cursor 中编写自然语言提示并自动获取最新代码文档以生成 Next.js 中间件"
Tavily MCP,https://lobehub.com/mcp/tavily-ai-tavily-mcp,tavily-ai,https://github.com/tavily-ai/tavily-mcp,"实时网络搜索、智能数据提取、网站结构化映射和系统性网页爬取功能",npx,true,npx -y tavily-mcp@latest,npx -y tavily-mcp,"构建知识图谱助手（结合Neo4j）"
BlenderMCP - Blender 模型上下文协议集成,https://lobehub.com/mcp/ahujasid-blender-mcp,ahujasid,https://github.com/ahujasid/blender-mcp,"BlenderMCP通过Model Context Protocol (MCP)将Blender连接到Claude AI，使Claude能够直接与Blender交互和控制",npx,false,brew install uv (Mac),uvx blender-mcp,"通过自然语言指令创建和修改3D模型"
Postgres MCP Pro,https://lobehub.com/mcp/crystaldba-postgres-mcp,crystaldba,https://github.com/crystaldba/postgres-mcp,"Postgres MCP Pro 是一个开源的 Model Context Protocol (MCP) 服务器，专为 PostgreSQL 数据库设计",npx,false,docker pull crystaldba/postgres-mcp,docker run -i --rm -e DATABASE_URI crystaldba/postgres-mcp --access-mode=unrestricted,"AI 助手辅助开发过程中的数据库操作"
Firecrawl MCP Server,https://lobehub.com/mcp/mendableai-firecrawl-mcp-server,mendableai,https://github.com/mendableai/firecrawl-mcp-server,"Firecrawl MCP Server 是一个 Model Context Protocol (MCP) 服务器实现，集成了 Firecrawl 提供网页抓取能力",npx,true,npm install -g firecrawl-mcp,npx -y firecrawl-mcp,"网页内容抓取与提取"
MCP 服务器 图表,https://lobehub.com/mcp/antvis-mcp-server-chart,AntV,https://github.com/antvis/mcp-server-chart,"这是一个基于Model Context Protocol (MCP) 的服务器，用于使用 AntV 生成图表",npx,false,npm install @antv/mcp-server-chart,npx mcp-server-chart,"在 Claude、Cursor、Cline 等 MCP 客户端中集成图表生成功能"
Playwright MCP,https://lobehub.com/mcp/microsoft-playwright-mcp,Microsoft Corporation,https://github.com/microsoft/playwright-mcp,"Playwright MCP 是一个提供浏览器自动化功能的 Model Context Protocol (MCP) 服务器",npx,false,npm install @playwright/mcp,npx @playwright/mcp@latest,"LLM 浏览器自动化任务"
Memory Server MCP,https://lobehub.com/mcp/hridaya423-memory-mcp,hridaya423,https://github.com/hridaya423/memory-mcp,"A MCP server for persistent memory storage with advanced features like tagging, timestamping, expiration",npx,false,npm install -g memory-server-mcp,memory-server-mcp,"Persistent memory storage for AI interactions"
环境署洪水监测 MCP 服务器,https://lobehub.com/mcp/dwain-barnes-mcp-server-environment-agency,Dwain Barnes,https://github.com/dwain-barnes/mcp-server-environment-agency,"MCP 服务器提供英国环境署的实时洪水监测 API 访问，包括洪水预警、水位测量、流量数据和监测站信息",npx,false,npm install -g mcp-server-environment-agency,npx mcp-server-environment-agency,"获取特定区域的洪水预警和警报"
NextBillion.ai MCP 服务器,https://lobehub.com/mcp/nextbillion-ai-nbai-mcp,nextbillion-ai,https://github.com/nextbillion-ai/nbai-mcp,"一个基于NextBillion.ai API的模型上下文协议（MCP）服务器，提供地理定位、路径规划和导航工具",npx,true,npx @nbai/mcp,npx @nbai/mcp,"地理编码与反向地理编码"
MCP 测试项目,https://lobehub.com/mcp/tanliulei-mcp-test,tanliulei,https://github.com/tanliulei/mcp-test,"这是一个用于测试Playwright MCP (Model Context Protocol) 的项目，主要提供浏览器自动化功能",npx,false,npm install @playwright/mcp@latest,npx @playwright/mcp@latest,"执行浏览器自动化任务"
Gemini Imagen MCP 服务器,https://lobehub.com/mcp/serkanhaslak-gemini-imagen-mcp-server,serkanhaslak,https://github.com/serkanhaslak/gemini-imagen-mcp-server,"面向生产环境的 MCP 服务器，集成了 Google Gemini Imagen API 和 Claude Desktop，用于 AI 驱动的图像生成",npx,true,npm install -g gemini-imagen-mcp-server,npx gemini-imagen-mcp-server,"创建AI语音助手，模拟特定角色的说话风格"
Figma Context MCP,https://lobehub.com/mcp/tianmuji-figma-context-mcp,tianmuji,https://github.com/tianmuji/Figma-Context-MCP/tree/clean-main,"用于 Figma 集成的 Model Context Protocol 服务器，支持智能位置数据",npx,true,npm install -g figma-developer-mcp,npx figma-developer-mcp --figma-api-key=YOUR-KEY,"在Cursor中直接访问Figma设计数据以实现UI开发"
Slack Notify MCP,https://lobehub.com/mcp/mkusaka-mcp-server-slack-notify,mkusaka,https://github.com/mkusaka/mcp-server-slack-notify,"用于通过 OAuth 机器人令牌向 Slack 发送通知的 MCP 服务器",npx,true,npm install @mkusaka/mcp-server-slack-notify,npx -y @mkusaka/mcp-server-slack-notify@latest,"Sending formatted notifications to Slack channels"
CodeIndexer,https://lobehub.com/mcp/zilliztech-codeindexer,zilliztech,https://github.com/zilliztech/CodeIndexer,"CodeIndexer 是一个开源实现，提供基于 AI 的 IDE（如 Cursor 和 Windsurf）中的代码索引和上下文感知能力",npx,true,npm install @code-indexer/mcp,npx code-indexer start-server,"通过自然语言查询进行语义代码搜索"
Andromeda MCP 服务器,https://lobehub.com/mcp/myronkoch-dev-andromeda-mcp-server,myronkoch-dev,https://github.com/MyronKoch-dev/andromeda-mcp-server,"面向Andromeda区块链的生产级MCP服务器 - 版本2.0，功能达98%，修复了核心漏洞，并全面支持ADO生态系统",npx,false,npm install -g @myronkoch/andromeda-mcp-server,andromeda-mcp-server,"构建创作者经济平台"
Sonatype MCP 服务器,https://lobehub.com/mcp/brianveltman-sonatype-mcp,brianveltman,https://github.com/brianveltman/sonatype-mcp,"一个用于 Sonatype Nexus Repository Manager 的 Model Context Protocol (MCP) 服务器",npx,false,npm install -g @brianveltman/sonatype-mcp,npx @brianveltman/sonatype-mcp,"Repository Management"
每日新闻,https://lobehub.com/mcp/fancyboi999-daily-hot-mcp,fancyboi999,https://github.com/fancyboi999/daily-hot-mcp,"一个基于Python的MCP（模型上下文协议）服务器，聚合来自31个数据源的热门新闻和社交媒体热点话题",pip,true,pip install -r requirements.txt && pip install -e .,python daily_hot_mcp/__main__.py,"为AI助手提供实时热点资讯支持"
Cursor 与 Figma 的 MCP 通信,https://lobehub.com/mcp/ysocrius-talk-to-figma-cursor,ysocrius,https://github.com/ysocrius/Talk-to-Figma-Cursor,"一种模型上下文协议（MCP）集成，允许 Cursor AI 与 Figma 进行通信",npx,false,npx cursor-talk-to-figma-mcp@latest,node node_socket_server.mjs,"通过Cursor AI读取Figma文档信息"
思维策略 MCP 服务器,https://lobehub.com/mcp/aaronsb-think-strategies,aaronsb,https://github.com/aaronsb/think-strategies,"用于序贯思维和问题解决的 MCP 服务器。支持 10 种推理策略，用于结构化问题解决",npx,false,npm install -g think-strategies,node index.js,"分解复杂问题为可管理步骤"
12306-mcp,https://lobehub.com/mcp/joooook-12306-mcp,Joooook,https://github.com/Joooook/12306-mcp,"基于 Model Context Protocol (MCP) 的12306购票搜索服务器",npx,false,git clone https://github.com/Joooook/12306-mcp.git && npm i,npx -y 12306-mcp,"通过大模型进行12306车票查询"
Pega DX MCP Server,https://lobehub.com/mcp/marcolooy-pega-dx-mcp,MarcoLooy,https://github.com/marco-looy/pega-dx-mcp,"MCP Server 使对话式人工智能（AI）与 Pega Infinity 应用程序集成",npx,true,npm install -g @marco-looy/pega-dx-mcp,npx -y @marco-looy/pega-dx-mcp,"自然语言创建和管理Pega Infinity案例"
ElevenLabs MCP 服务器,https://lobehub.com/mcp/elevenlabs-elevenlabs-mcp,elevenlabs,https://github.com/elevenlabs/elevenlabs-mcp,"官方 ElevenLabs Model Context Protocol (MCP) 服务器，支持与强大的文本转语音（Text to Speech）和音频处理API进行交互",pip,true,uvx elevenlabs-mcp,python -m elevenlabs_mcp --api-key={{YOUR_API_KEY}} --print,"创建AI语音助手，模拟特定角色的说话风格"
n8n-MCP,https://lobehub.com/mcp/czlonkowski-n8n-mcp,czlonkowski,https://github.com/czlonkowski/n8n-mcp,"一个 Model Context Protocol (MCP) 服务器，提供 AI 助手全面访问 n8n 节点文档、属性和操作的能力",npx,true,npm install -g n8n-mcp,npx n8n-mcp,"为 Claude 等 AI 助手提供 n8n 节点文档和属性访问"
