工具名称,工具作者,他山评分,实用性评分,可持续性评分,受欢迎度评分,可用工具数量,github_url
Playwright MCP,Microsoft Corporation,94.63,92.5,97,98.67,21,https://github.com/microsoft/playwright-mcp
Context7 MCP - 最新代码文档适用于任何提示,upstash,92.03,92.5,84,98.67,2,https://github.com/upstash/context7
Mobile Next - 移动开发与自动化的 MCP 服务器,mobile-next,88.7,92.5,78,87.98,18,https://github.com/mobile-next/mobile-mcp
BlenderMCP - Blender 模型上下文协议集成,ahujasid,86.03,92.5,54,98.67,17,https://github.com/ahujasid/blender-mcp
Excel MCP Server,haris,85.83,92.5,59,92.67,25,https://github.com/haris-musa/excel-mcp-server
12306-mcp,Joooook,84.97,92.5,63,84.33,8,https://github.com/Joooook/12306-mcp
Mindpilot MCP,abrinsmead,83.14,92.5,81,57.18,2,https://github.com/abrinsmead/mindpilot-mcp
Agent Communication MCP Server,mkXultra,81.34,92.5,72,57.18,10,https://github.com/mkXultra/agent-communication-mcp
@prismicio/mcp-server,prismicio,80.94,92.5,70,57.18,1,https://github.com/prismicio/prismic-mcp-server
MCP 文档服务器,andrea9293,80.74,82.5,84,72.2,9,https://github.com/andrea9293/mcp-documentation-server
HiGHS MCP 服务器,Wilfred Springer,80.54,92.5,68,57.18,1,https://github.com/wspringer/highs-mcp
MCP Feedback Enhanced,Minidoracat,79.53,80.0,65,92.67,2,https://github.com/Minidoracat/mcp-feedback-enhanced
Log Reader Mcp,hassansaadfr,78.74,92.5,59,57.18,1,https://github.com/hassansaadfr/log-reader-mcp
Netlify MCP Server,netlify,78.34,87.5,72,57.18,6,https://github.com/netlify/netlify-mcp
mcp-installer - 用于安装 MCP 服务器的 MCP 服务器,anaisbetts,78.3,92.5,26,87.98,2,https://github.com/anaisbetts/mcp-installer
Cursor IDE 的 PubNub 模型上下文协议（MCP）服务器,pubnub,77.74,87.5,69,57.18,11,https://github.com/pubnub/pubnub-mcp-server
MCP DuckDB 知识图谱内存服务器,IzumiSy,77.74,92.5,54,57.18,8,https://github.com/IzumiSy/mcp-duckdb-memory-server
地理编码 MCP 服务器,geocoding-ai,76.94,92.5,50,57.18,2,https://github.com/geocoding-ai/mcp
interactive-mcp,ttommyth,76.74,92.5,34,72.2,5,https://github.com/ttommyth/interactive-mcp
@just-every/mcp-read-website-fast,just-every,76.54,82.5,78,57.18,1,https://github.com/just-every/mcp-read-website-fast
MCP iOS 模拟器截图,yorifuji,76.14,92.5,46,57.18,1,https://github.com/yorifuji/mcp-ios-simulator-screenshot
AniList MCP 服务器,yuna0x0,75.34,92.5,42,57.18,44,https://github.com/yuna0x0/anilist-mcp
Jina AI MCP 工具,PsychArch,75.34,92.5,42,57.18,2,https://github.com/PsychArch/jina-mcp-tools
@stackzero-labs/mcp,stackzero-labs,75.34,92.5,42,57.18,12,https://github.com/stackzero-labs/mcp
测试代码生成器 MCP 服务器,fyuuki0jp,75.34,92.5,42,57.18,1,https://github.com/fyuuki0jp/testing-mcp-vitest
Superset MCP 服务器,Winding2020,75.14,82.5,71,57.18,28,https://github.com/Winding2020/superset-mcp
@hyperweb/mcp-server,hyperweb-io,74.54,92.5,38,57.18,8,https://github.com/hyperweb-io/mcp
Hacker News MCP 服务器,devabdultech,74.54,92.5,38,57.18,9,https://github.com/devabdultech/hn-mcp
