test_id,test_timestamp,tool_identifier,tool_name,tool_author,tool_category,test_success,deployment_success,communication_success,available_tools_count,test_duration_seconds,comprehensive_score,github_evaluation_score,sustainability_score,popularity_score,calculation_method
bf1bf81f-f3a7-4b6a-a7a8-3de96bf26b6c,2025-08-26T07:46:44.8468+00:00,https://github.com/prandogabriel/ieee2030.5-mcp,IEEE 2030.5 MCP 服务器,prandogabriel,,False,True,False,0,100.461882591248,,,,,
041e002f-7b72-49fb-bc46-e96b9a8cb717,2025-08-26T06:59:51.335682+00:00,https://github.com/andredezzy/deep-directory-tree-mcp,Deep Directory Tree MCP,andredezzy,,True,True,True,1,109.37674665451,45,,23,13,weighted_average
81855404-bb9c-4294-806a-8de4ee585036,2025-08-24T15:14:45.030711+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,120.882089138031,,,84,94,
7c09d0b4-f3b8-4a2f-9f1f-b4ed446bd99f,2025-08-26T07:10:35.460404+00:00,https://github.com/infinitum-nihil/claude10-everything-server,Everything MCP Server,infinitum-nihil,,True,True,True,11,95.8554298877716,,,,,
47682b67-8611-404f-a25b-cfe98148d27a,2025-08-24T15:42:38.139265+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,79.438148021698,,,84,94,
ce016ab1-ffdd-408a-bad8-6ea3c4956d17,2025-08-27T09:38:47.164274+00:00,https://github.com/IzumiSy/mcp-duckdb-memory-server,MCP DuckDB 知识图谱内存服务器,IzumiSy,,False,True,False,8,65.7875018119812,,,,,
cb1e631a-824a-42c2-bf9a-0cffec90309e,2025-08-24T08:14:20.662798+00:00,https://github.com/shinzo-labs/gmail-mcp,Gmail MCP,shinzo-labs,,False,True,False,64,108.085160493851,,,38,13,
fe0c4bad-01d2-471b-a5f1-d7958b8ab238,2025-08-24T08:14:24.873849+00:00,https://github.com/marco-looy/pega-dx-mcp,Pega DX MCP Server,MarcoLooy,,False,True,False,63,132.594661951065,,,80,13,
a8304251-08d5-4e7c-b3ae-c3a2d53dca53,2025-08-24T08:15:42.508719+00:00,https://github.com/yuna0x0/anilist-mcp,AniList MCP 服务器,yuna0x0,,False,True,False,0,85.5166728496552,,,38,13,
267f6b71-fdb5-4c98-bc3e-ade23b08eaf9,2025-08-24T08:17:26.10964+00:00,https://github.com/darrenyao/dingtalk-mcp-server,钉钉 MCP 服务器,darrenyao,,False,True,False,3,87.7713975906372,,,19,13,
6559a0de-5098-42ed-acd5-fd2d30e61da4,2025-08-26T07:10:52.546103+00:00,https://github.com/phaserjs/editor-mcp-server,Phaser Editor v5 的 MCP 服务器,phaserjs,,False,True,False,39,134.39790058136,,,,,
9a031294-571d-4b22-8793-bf76fff81a2f,2025-08-24T18:08:15.341676+00:00,https://github.com/sylphxltd/pdf-reader-mcp,PDF Reader MCP Server,sylphlab,,True,True,True,0,9.78051424026489,,,54,27,
4e63d320-ee82-4d20-9f95-670e6c20df14,2025-08-24T18:12:29.280841+00:00,https://github.com/sylphxltd/pdf-reader-mcp,PDF Reader MCP Server,sylphlab,,False,True,False,1,116.382666110992,,,54,27,
3225844a-3995-4967-8a2e-664bbcf60ae5,2025-08-24T18:48:55.948363+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,False,True,False,2,137.415418148041,,,84,94,
b3fd8344-3a1b-4e11-98fb-6ae81605b825,2025-08-24T19:12:49.938154+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,119.774006843567,,,84,94,
dae260e1-f551-480b-9812-5a3c7b0cc15c,2025-08-24T23:11:06.11674+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,73.3904864788055,83,,84,94,weighted_average
4f1e9668-8845-42b1-801b-77a756e66d3d,2025-08-24T19:12:49.938154+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,119.774006843567,,,84,94,
863147d6-80e4-44d9-b86e-5a476a591064,2025-08-24T19:18:04.704881+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,128.926086187363,,,84,94,
a67cab7d-367b-4768-9dbd-9d20000bfd19,2025-08-26T07:48:24.079365+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,False,True,False,2,178.573771238327,,,,,
f2fdf377-3526-4479-bd91-32aec9e9e171,2025-08-24T19:23:44.350576+00:00,https://github.com/upstash/context7,Context7 MCP - 最新代码文档适用于任何提示,upstash,,True,True,True,2,149.236066818237,87,,84,94,weighted_average
